customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-10027,Male,0,Yes,No,13,Yes,Fiber optic,No,No,One year,No,Electronic check,81.12,1079.91,No
CUST-10028,Female,0,No,No,13,Yes,DSL,Yes,Yes,One year,Yes,Credit card (automatic),55.13,745.08,No
CUST-10029,Male,0,No,No,2,Yes,Fiber optic,Yes,No,One year,No,Bank transfer (automatic),88.11,169.87,No
CUST-10030,Female,0,No,Yes,9,Yes,Fiber optic,No,No,One year,No,Credit card (automatic),93.85,824.18,Yes
CUST-10031,Male,1,No,No,9,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Mailed check,76.56,666.99,No
CUST-10032,Male,0,Yes,Yes,22,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,53.47,1209.53,No
CUST-10033,Female,0,No,No,13,Yes,No,No,No,One year,No,Bank transfer (automatic),18.0,219.73,No
CUST-10034,Female,0,Yes,Yes,8,Yes,DSL,No,No internet service,Month-to-month,No,Electronic check,59.0,486.37,No
CUST-10035,Male,1,No,Yes,12,Yes,DSL,No,No,Two year,Yes,Bank transfer (automatic),74.08,877.39,No
CUST-10036,Female,0,No,No,6,Yes,DSL,No,No internet service,Month-to-month,No,Electronic check,66.87,410.43,Yes
CUST-10037,Male,1,No,Yes,14,Yes,DSL,No internet service,No,Month-to-month,Yes,Mailed check,80.32,1034.54,No
CUST-10038,Male,0,No,No,44,Yes,No,No internet service,Yes,Two year,No,Mailed check,24.23,1022.63,No
CUST-10039,Male,0,No,No,13,Yes,Fiber optic,No,Yes,Two year,Yes,Electronic check,108.22,1268.7,No
CUST-10040,Male,0,Yes,No,5,Yes,DSL,Yes,Yes,Month-to-month,No,Electronic check,61.22,285.64,No
CUST-10041,Male,0,Yes,Yes,2,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),39.23,80.86,No
CUST-10042,Male,0,No,No,72,Yes,DSL,No internet service,No,Two year,No,Bank transfer (automatic),42.25,3070.9,No
CUST-10043,Male,0,No,No,5,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,39.69,193.66,No
CUST-10044,Female,1,No,Yes,42,Yes,Fiber optic,No,Yes,Month-to-month,No,Bank transfer (automatic),88.63,3765.81,Yes
CUST-10045,Female,0,No,No,13,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,73.46,902.94,Yes
CUST-10046,Male,0,Yes,No,23,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,27.52,607.23,No
CUST-10047,Male,0,Yes,No,0,No,Fiber optic,Yes,No,One year,No,Credit card (automatic),52.22,,No
CUST-10048,Female,0,No,No,4,No,DSL,No internet service,Yes,Month-to-month,No,Electronic check,66.62,270.07,No
CUST-10049,Male,0,Yes,No,54,Yes,Fiber optic,No,No internet service,Month-to-month,No,Electronic check,65.05,3312.51,Yes
CUST-10050,Male,0,No,No,17,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,63.52,1093.42,Yes
CUST-10051,Female,0,No,No,3,Yes,No,No,Yes,One year,Yes,Electronic check,25.1,77.25,No
CUST-10052,Female,0,Yes,No,0,Yes,DSL,No,No internet service,One year,Yes,Electronic check,50.35,,No
CUST-10053,Male,0,No,No,7,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),80.95,534.65,Yes
CUST-10054,Male,0,No,No,8,No,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,98.99,768.72,No
CUST-10055,Male,0,No,Yes,19,Yes,No,No internet service,No,Two year,Yes,Electronic check,19.71,355.18,No
CUST-10056,Female,0,Yes,No,32,Yes,DSL,No internet service,No internet service,One year,Yes,Electronic check,49.34,1572.57,No
CUST-10057,Male,0,Yes,No,20,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,25.09,452.01,Yes
CUST-10058,Male,1,No,No,35,Yes,Fiber optic,Yes,No internet service,Month-to-month,No,Electronic check,87.25,2849.8,Yes
CUST-10059,Male,0,No,Yes,20,No,Fiber optic,No internet service,No,One year,No,Electronic check,69.54,1303.45,No
CUST-10060,Male,0,No,No,9,Yes,DSL,Yes,Yes,One year,No,Electronic check,66.95,557.19,No
CUST-10061,Female,0,No,No,16,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Mailed check,68.37,1088.38,No
CUST-10062,Male,0,No,Yes,5,Yes,Fiber optic,No,No internet service,Two year,No,Electronic check,88.14,419.02,No
CUST-10063,Female,0,Yes,No,18,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,43.3,808.2,No
CUST-10064,Male,0,No,Yes,51,Yes,Fiber optic,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),79.16,4162.62,No
CUST-10065,Female,0,No,No,46,Yes,Fiber optic,Yes,No,Two year,No,Bank transfer (automatic),91.83,4168.35,Yes
CUST-10066,Female,1,No,No,50,Yes,Fiber optic,No,Yes,Month-to-month,No,Mailed check,78.21,4000.2,No
CUST-10067,Female,0,No,Yes,38,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,74.5,2560.32,No
CUST-10068,Female,0,Yes,No,53,Yes,DSL,No,No,Month-to-month,Yes,Bank transfer (automatic),72.85,3974.6,No
CUST-10069,Male,1,No,No,43,Yes,DSL,Yes,Yes,Month-to-month,No,Credit card (automatic),76.92,3269.72,No
CUST-10070,Female,0,Yes,No,11,Yes,Fiber optic,No internet service,No,One year,Yes,Electronic check,91.95,1015.08,No
CUST-10071,Male,0,Yes,No,22,Yes,DSL,No internet service,Yes,One year,Yes,Credit card (automatic),61.52,1372.24,No
CUST-10072,Male,0,No,No,12,Yes,Fiber optic,No,No internet service,Month-to-month,No,Mailed check,94.66,1159.5,Yes
CUST-10073,Male,0,Yes,No,14,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,31.52,457.67,Yes
CUST-10074,Male,1,No,Yes,18,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,93.14,1680.92,Yes
CUST-10075,Male,0,No,No,27,No,Fiber optic,No,No,Two year,Yes,Credit card (automatic),92.2,2499.86,No
CUST-10076,Male,1,Yes,No,19,Yes,No,No,Yes,Two year,Yes,Mailed check,26.3,512.43,No
CUST-10077,Female,0,No,No,53,Yes,DSL,No,No internet service,Two year,No,Electronic check,61.4,3116.25,No
CUST-10078,Male,0,Yes,No,39,Yes,Fiber optic,No internet service,No,Month-to-month,No,Electronic check,99.14,3969.57,Yes
CUST-10079,Male,0,Yes,No,48,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),20.85,1025.37,No
CUST-10080,Male,0,No,No,14,Yes,DSL,No,No,Month-to-month,Yes,Credit card (automatic),42.26,606.01,No
CUST-10081,Male,0,No,No,43,Yes,No,Yes,Yes,One year,No,Credit card (automatic),22.64,1013.87,No
CUST-10082,Male,1,Yes,Yes,49,Yes,DSL,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),53.32,2568.41,No
CUST-10083,Male,0,No,No,59,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,75.42,4662.64,Yes
CUST-10084,Female,1,Yes,No,46,Yes,Fiber optic,No,No,Two year,Yes,Electronic check,95.0,4322.19,No
CUST-10085,Female,1,Yes,No,26,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,38.99,1033.17,No
CUST-10086,Female,0,Yes,Yes,17,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,86.13,1370.16,Yes
CUST-10087,Female,0,Yes,Yes,10,Yes,Fiber optic,No,No internet service,Month-to-month,No,Mailed check,74.29,766.0,No
CUST-10088,Male,0,Yes,No,30,Yes,Fiber optic,No,No,One year,Yes,Bank transfer (automatic),83.17,2434.39,No
CUST-10089,Male,0,No,Yes,25,Yes,DSL,No internet service,Yes,Month-to-month,Yes,Mailed check,58.2,1314.78,No
CUST-10090,Female,1,No,No,52,Yes,Fiber optic,No,No internet service,Month-to-month,No,Mailed check,59.17,2998.63,Yes
CUST-10091,Female,0,No,No,15,Yes,Fiber optic,No,No internet service,One year,Yes,Electronic check,84.59,1197.59,No
CUST-10092,Female,0,Yes,No,54,Yes,Fiber optic,No,No,Two year,No,Electronic check,77.46,3837.72,No
CUST-10093,Male,0,Yes,No,16,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),20.47,295.35,No
CUST-10094,Male,0,No,No,3,Yes,Fiber optic,No,No,Month-to-month,No,Bank transfer (automatic),74.43,211.46,Yes
CUST-10095,Male,0,No,Yes,39,Yes,Fiber optic,No,Yes,Two year,Yes,Bank transfer (automatic),98.1,3790.85,No
CUST-10096,Female,0,Yes,No,13,Yes,DSL,No,Yes,Two year,No,Credit card (automatic),45.23,559.07,No
CUST-10097,Male,0,No,No,0,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Credit card (automatic),92.2,,Yes
CUST-10098,Male,0,No,No,72,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Credit card (automatic),71.99,5149.83,Yes
CUST-10099,Female,0,No,Yes,52,Yes,DSL,Yes,Yes,Two year,No,Credit card (automatic),59.33,3077.51,No
CUST-10100,Male,1,Yes,No,8,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),94.97,730.67,No
CUST-10101,Female,0,Yes,Yes,1,Yes,DSL,Yes,No internet service,Two year,No,Electronic check,47.66,48.83,No
CUST-10102,Male,0,No,No,72,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.75,2965.5,No
CUST-10103,Female,0,No,No,22,Yes,Fiber optic,No,No internet service,Month-to-month,No,Electronic check,76.28,1754.31,Yes
CUST-10104,Male,0,No,No,60,Yes,DSL,Yes,No,Month-to-month,Yes,Bank transfer (automatic),68.09,3821.24,No
CUST-10105,Male,0,Yes,No,35,Yes,DSL,No,Yes,Two year,Yes,Bank transfer (automatic),67.0,2192.06,No
CUST-10106,Female,0,Yes,Yes,30,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),18.0,502.28,Yes
CUST-10107,Female,1,Yes,Yes,72,No,No,No,No,Month-to-month,No,Electronic check,39.12,2797.77,No
CUST-10108,Female,0,Yes,Yes,6,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,18.0,104.67,Yes
CUST-10109,Female,0,Yes,Yes,3,Yes,Fiber optic,No internet service,No,Two year,No,Mailed check,86.86,238.82,No
CUST-10110,Male,0,No,No,36,Yes,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),66.05,2321.68,No
CUST-10111,Female,0,No,No,72,Yes,Fiber optic,No,No,Two year,No,Bank transfer (automatic),83.76,5434.42,No
CUST-10112,Female,0,Yes,No,72,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Mailed check,89.23,5802.86,Yes
CUST-10113,Male,0,No,Yes,14,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,66.56,854.87,Yes
CUST-10114,Male,0,Yes,No,9,No,No,No,No internet service,One year,Yes,Mailed check,31.09,279.69,No
CUST-10115,Male,0,No,Yes,12,Yes,Fiber optic,No,No,Two year,Yes,Credit card (automatic),63.8,786.2,No
CUST-10116,Male,1,No,No,4,Yes,DSL,No,No,Month-to-month,No,Mailed check,66.62,248.85,Yes
CUST-10117,Male,0,Yes,Yes,7,Yes,DSL,No,No,Two year,Yes,Electronic check,53.95,341.45,No
CUST-10118,Male,1,No,Yes,4,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,56.89,215.26,Yes
CUST-10119,Female,0,No,No,27,Yes,Fiber optic,No,Yes,One year,Yes,Mailed check,100.45,2785.72,No
CUST-10120,Female,0,No,No,19,Yes,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),86.74,1601.39,Yes
CUST-10121,Female,0,Yes,Yes,15,Yes,DSL,No,No internet service,Two year,No,Bank transfer (automatic),46.55,639.48,No
CUST-10122,Male,1,Yes,Yes,14,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,62.72,853.58,Yes
CUST-10123,Female,0,Yes,No,6,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,83.86,455.59,Yes
CUST-10124,Female,0,No,No,18,Yes,No,No,No,One year,No,Electronic check,28.07,467.53,No
CUST-10125,Female,0,No,No,11,Yes,No,No,Yes,Two year,No,Mailed check,18.0,191.87,No
CUST-10126,Female,0,Yes,No,14,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Electronic check,69.87,947.11,Yes
CUST-10127,Female,1,No,Yes,5,No,Fiber optic,No internet service,Yes,Two year,No,Electronic check,67.53,327.13,No
CUST-10128,Female,0,No,No,72,Yes,Fiber optic,No,Yes,One year,No,Credit card (automatic),79.88,5498.87,No
CUST-10129,Male,0,No,No,3,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),21.85,61.43,No
CUST-10130,Male,0,No,Yes,72,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.71,7817.51,No
CUST-10131,Female,0,No,Yes,50,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,105.17,5400.09,No
CUST-10132,Male,0,No,Yes,16,Yes,No,No,No,Month-to-month,Yes,Mailed check,18.0,271.72,Yes
CUST-10133,Male,0,Yes,No,19,Yes,Fiber optic,No internet service,No,Month-to-month,No,Electronic check,61.92,1183.49,Yes
CUST-10134,Male,0,No,No,5,Yes,Fiber optic,Yes,No,Two year,Yes,Mailed check,89.55,410.19,No
CUST-10135,Female,0,No,No,11,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,89.1,961.01,Yes
CUST-10136,Female,0,Yes,Yes,23,Yes,Fiber optic,Yes,No,One year,No,Credit card (automatic),107.38,2224.39,Yes
CUST-10137,Female,0,No,No,20,Yes,DSL,No,No,Two year,No,Electronic check,83.09,1715.66,No
CUST-10138,Male,0,No,No,14,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,88.76,1215.87,Yes
CUST-10139,Female,0,No,No,15,Yes,DSL,No,No internet service,One year,Yes,Mailed check,69.15,953.41,No
CUST-10140,Female,0,Yes,No,8,Yes,Fiber optic,No,No,Two year,No,Credit card (automatic),92.84,767.86,Yes
CUST-10141,Female,0,No,No,8,No,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,93.14,741.49,Yes
CUST-10142,Female,0,No,No,20,Yes,No,No,Yes,Two year,Yes,Mailed check,18.0,362.93,No
CUST-10143,Female,0,No,No,27,Yes,Fiber optic,No,No,Month-to-month,No,Bank transfer (automatic),94.15,2428.53,Yes
CUST-10144,Female,0,Yes,No,15,Yes,Fiber optic,No internet service,No,Month-to-month,No,Bank transfer (automatic),101.25,1513.12,No
CUST-10145,Female,0,No,Yes,4,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,26.75,103.99,Yes
CUST-10146,Female,0,Yes,No,9,Yes,Fiber optic,Yes,No,Two year,No,Mailed check,69.51,634.4,No
CUST-10147,Female,0,No,Yes,27,Yes,Fiber optic,Yes,No,Month-to-month,No,Mailed check,84.36,2077.82,No
CUST-10148,Female,0,No,No,2,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,83.79,173.78,Yes
CUST-10149,Male,0,Yes,Yes,1,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,51.84,47.74,No
CUST-10150,Female,1,No,No,16,Yes,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,72.01,1126.21,No
CUST-10151,Female,0,No,No,12,Yes,Fiber optic,No internet service,No,Two year,No,Mailed check,61.76,678.68,No
CUST-10152,Female,0,No,Yes,6,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),32.17,200.6,No
CUST-10153,Male,0,No,No,19,Yes,Fiber optic,Yes,No,Two year,No,Mailed check,98.29,1938.25,No
CUST-10154,Male,1,No,No,5,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,62.01,296.87,Yes
CUST-10155,Female,1,No,No,18,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,69.8,1240.2,Yes
CUST-10156,Female,1,Yes,No,10,Yes,Fiber optic,Yes,No,Month-to-month,No,Mailed check,70.26,697.16,Yes
CUST-10157,Female,0,No,No,3,Yes,Fiber optic,Yes,Yes,One year,No,Mailed check,75.85,225.78,No
CUST-10158,Female,0,Yes,No,0,Yes,Fiber optic,Yes,No,Month-to-month,No,Credit card (automatic),88.61,,Yes
CUST-10159,Female,0,No,Yes,21,Yes,Fiber optic,No,No,Two year,Yes,Electronic check,64.06,1395.44,No
CUST-10160,Female,0,Yes,No,14,Yes,Fiber optic,Yes,No,Month-to-month,No,Bank transfer (automatic),96.73,1408.95,No
CUST-10161,Male,0,No,No,3,Yes,Fiber optic,No,Yes,One year,No,Credit card (automatic),71.49,217.26,No
CUST-10162,Female,0,No,Yes,22,Yes,DSL,No,No internet service,One year,Yes,Credit card (automatic),59.5,1240.56,No
CUST-10163,Male,0,No,Yes,4,Yes,DSL,No internet service,No internet service,Two year,Yes,Mailed check,51.54,187.48,No
CUST-10164,Male,0,Yes,No,14,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),25.63,338.42,Yes
CUST-10165,Male,0,Yes,No,8,Yes,Fiber optic,No,Yes,Month-to-month,No,Electronic check,87.72,725.65,Yes
CUST-10166,Male,0,No,No,17,Yes,Fiber optic,No,Yes,Two year,Yes,Mailed check,80.57,1303.43,No
CUST-10167,Male,1,No,No,3,Yes,No,No,No,Month-to-month,Yes,Mailed check,31.77,95.51,Yes
CUST-10168,Female,0,No,Yes,52,Yes,Fiber optic,No,No,One year,Yes,Mailed check,84.87,4325.54,No
CUST-10169,Female,1,No,No,6,Yes,Fiber optic,No,Yes,Two year,Yes,Mailed check,74.76,447.56,No
CUST-10170,Female,0,No,Yes,2,Yes,Fiber optic,No,Yes,Month-to-month,No,Mailed check,90.15,171.5,No
CUST-10171,Male,0,Yes,No,19,Yes,DSL,No internet service,Yes,Month-to-month,No,Electronic check,75.22,1382.32,Yes
CUST-10172,Male,0,Yes,No,29,Yes,DSL,No,Yes,Month-to-month,Yes,Mailed check,47.32,1419.41,Yes
CUST-10173,Female,0,Yes,No,27,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,74.36,2020.94,Yes
CUST-10174,Female,1,Yes,No,3,Yes,Fiber optic,Yes,No,Two year,Yes,Electronic check,117.05,325.86,Yes
CUST-10175,Female,0,No,Yes,30,Yes,Fiber optic,Yes,No,Two year,Yes,Electronic check,89.34,2482.19,Yes
CUST-10176,Female,0,Yes,No,15,Yes,DSL,No internet service,No internet service,Two year,Yes,Electronic check,33.3,484.97,No
CUST-10177,Male,0,Yes,Yes,23,Yes,DSL,Yes,No,Month-to-month,Yes,Credit card (automatic),54.36,1140.1,No
CUST-10178,Female,0,No,No,32,Yes,Fiber optic,No,Yes,Two year,No,Mailed check,63.38,2088.84,No
CUST-10179,Male,0,Yes,Yes,42,Yes,DSL,No,No,Two year,Yes,Credit card (automatic),79.64,3299.83,No
CUST-10180,Female,0,Yes,No,18,Yes,DSL,No,No,One year,No,Bank transfer (automatic),52.64,916.35,No
CUST-10181,Male,0,No,Yes,26,Yes,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Mailed check,76.94,2051.15,No
CUST-10182,Male,0,No,No,2,Yes,Fiber optic,No,No,One year,No,Electronic check,50.74,95.05,No
CUST-10183,Male,0,No,No,23,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,75.0,1652.65,Yes
CUST-10184,Male,0,No,Yes,32,No,DSL,Yes,No,Two year,Yes,Electronic check,77.75,2569.31,No
CUST-10185,Female,0,No,No,8,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),87.15,652.77,No
CUST-10186,Male,0,Yes,Yes,5,Yes,No,No,No,Month-to-month,Yes,Mailed check,21.84,98.34,No
CUST-10187,Male,0,Yes,No,1,Yes,Fiber optic,Yes,No,One year,Yes,Electronic check,72.46,65.99,No
CUST-10188,Male,0,Yes,No,6,Yes,Fiber optic,No,No internet service,Two year,Yes,Electronic check,91.26,532.6,No
CUST-10189,Male,0,Yes,No,39,Yes,Fiber optic,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.34,3357.15,No
CUST-10190,Female,0,Yes,No,1,Yes,DSL,No internet service,No,Month-to-month,No,Electronic check,52.26,48.89,Yes
CUST-10191,Male,1,No,Yes,0,Yes,DSL,No,Yes,Two year,No,Credit card (automatic),39.5,,No
CUST-10192,Female,0,No,Yes,23,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Electronic check,62.05,1442.64,Yes
CUST-10193,Male,1,Yes,No,26,No,Fiber optic,No internet service,No,Month-to-month,No,Credit card (automatic),75.24,1849.43,Yes
CUST-10194,Male,0,No,No,61,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.0,1044.18,No
CUST-10195,Male,0,No,No,15,No,Fiber optic,Yes,No,One year,Yes,Mailed check,98.45,1384.6,Yes
CUST-10196,Male,0,Yes,No,23,Yes,DSL,No,No,One year,No,Mailed check,52.44,1199.89,No
CUST-10197,Female,0,Yes,Yes,34,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),18.0,564.47,No
CUST-10198,Female,1,No,No,24,Yes,DSL,No,No,Two year,Yes,Mailed check,49.04,1118.91,No
CUST-10199,Male,1,No,No,50,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),83.5,3858.75,No
CUST-10200,Female,0,Yes,Yes,11,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,28.3,304.73,No
CUST-10201,Female,1,Yes,No,22,Yes,Fiber optic,No,Yes,One year,Yes,Mailed check,89.44,1826.95,No
CUST-10202,Female,0,No,No,14,Yes,Fiber optic,No,No,Month-to-month,No,Credit card (automatic),67.86,954.02,Yes
CUST-10203,Male,0,Yes,Yes,0,Yes,Fiber optic,No,Yes,One year,Yes,Bank transfer (automatic),69.0,,No
CUST-10204,Male,0,Yes,No,40,No,Fiber optic,No,No,Month-to-month,Yes,Electronic check,67.9,2515.57,No
CUST-10205,Female,0,Yes,No,0,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),25.06,,No
CUST-10206,Female,0,No,Yes,45,No,DSL,Yes,Yes,One year,Yes,Mailed check,78.39,3229.37,No
CUST-10207,Male,0,Yes,No,7,Yes,No,No,No internet service,Month-to-month,No,Mailed check,18.0,129.24,No
CUST-10208,Male,1,No,Yes,11,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,51.0,542.78,Yes
CUST-10209,Male,0,No,No,21,Yes,DSL,No internet service,Yes,Two year,No,Electronic check,57.7,1093.69,Yes
CUST-10210,Female,0,No,No,70,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,88.15,5629.59,Yes
CUST-10211,Female,1,Yes,Yes,1,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),76.11,77.95,No
CUST-10212,Female,0,Yes,No,51,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.58,984.66,No
CUST-10213,Female,0,No,Yes,3,Yes,DSL,Yes,No internet service,Two year,No,Mailed check,66.57,206.52,No
CUST-10214,Male,0,No,No,53,Yes,DSL,No internet service,No,Month-to-month,No,Mailed check,39.98,2041.98,No
CUST-10215,Female,1,Yes,No,17,Yes,DSL,Yes,No,One year,Yes,Mailed check,71.68,1236.96,No
CUST-10216,Male,0,No,Yes,6,Yes,Fiber optic,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),71.59,427.2,Yes
CUST-10217,Male,0,No,No,32,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),80.69,2553.61,Yes
CUST-10218,Female,0,No,Yes,12,Yes,DSL,Yes,Yes,Month-to-month,No,Credit card (automatic),69.08,784.6,No
CUST-10219,Male,0,No,No,36,No,Fiber optic,Yes,No internet service,Two year,Yes,Mailed check,67.25,2210.55,No
CUST-10220,Male,1,Yes,Yes,65,No,DSL,Yes,No,Month-to-month,Yes,Bank transfer (automatic),52.11,3351.25,Yes
CUST-10221,Male,0,Yes,No,11,Yes,DSL,No internet service,Yes,Month-to-month,No,Credit card (automatic),75.31,865.71,No
CUST-10222,Female,0,Yes,Yes,37,Yes,Fiber optic,No internet service,Yes,Month-to-month,Yes,Mailed check,77.56,2705.74,No
